# {"t_start": 1585585018.7087429, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-1.427224,999,442.178102
-1.507369,999,442.623726
-1.574346,999,443.11742
-1.502131,999,443.565531
-1.421832,999,444.068202
-1.534894,999,444.524058
-1.492782,999,445.022775
-1.494466,999,445.469371
-1.504741,999,445.963568
-1.462951,999,446.410344
-1.366193,999,446.912663
-1.494434,999,447.359626
-1.539356,999,447.863872
-1.542063,999,448.315209
-1.418133,999,448.844772
-1.396085,999,449.29148
-1.489328,999,449.749469
-1.313725,999,450.245727
-1.578701,999,450.692848
-1.399871,999,451.194639
-1.486988,999,451.666207
-1.374114,999,452.147023
-1.501096,999,452.573667
-1.330566,999,453.056821
-1.376433,999,453.534048
-1.342662,999,454.005931
-1.278411,999,454.438195
-1.335784,999,454.914601
-1.342206,999,455.344636
-1.452621,999,455.819404
-1.491125,999,456.249065
-1.36734,999,456.733823
-1.260344,999,457.163949
-1.375239,999,457.642003
-1.398705,999,458.070643
-1.340891,999,458.553458
-1.391748,999,458.982935
-1.268667,999,459.460207
-1.339256,999,459.888966
-1.309469,999,460.373263
-1.324525,999,460.817185
-1.280431,999,461.319601
-1.276886,999,461.767225
-1.374946,999,462.262786
-1.278887,999,462.709477
-1.298964,999,463.213064
-1.146235,999,463.663515
-1.193293,999,464.164703
-1.190108,999,464.622288
-1.342181,999,465.135005
-1.239684,999,465.589388
-1.18776,999,466.084077
-1.30014,999,466.533297
-1.189879,999,467.028873
-1.272122,999,467.476602
-1.20781,999,467.973315
-1.234604,999,468.41981
-1.210635,999,468.867132
-1.244072,999,469.361536
-1.253179,999,469.810872
-1.125393,999,470.312508
-1.126855,999,470.759974
-1.143964,999,471.263827
-1.273026,999,471.693501
-1.179916,999,472.171774
-1.21444,999,472.603941
-1.05835,999,473.081125
-1.121562,999,473.51108
-1.19395,999,473.984737
-1.205313,999,474.416386
-1.119617,999,474.893917
-1.117296,999,475.327952
-1.139105,999,475.810207
-1.047291,999,476.267242
-1.149189,999,476.762417
-1.233131,999,477.209406
-1.07531,999,477.705075
-1.031814,999,478.153411
-1.063421,999,478.649022
-1.149121,999,479.103644
-1.054469,999,479.616532
-0.984882,999,480.064454
-1.110213,999,480.566314
-1.064965,999,481.014432
-1.105198,999,481.546006
-1.09164,999,481.976369
-1.129533,999,482.453784
-1.105105,999,482.882933
